index;client;parrent;client_bin/tin;type;value;del_mark
36; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 22;Толе би ауызова;Нет
37; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 23;Зенкова 2а;Нет
38; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 24;закарпацкая 1 б;Нет
39; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 25;Кацева 24;Нет
40; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 26;Алматы, байзкова, дом № 52В, корпус 1, квартира 612;Нет
41; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 27;тест;Нет
42; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 28;Жибек жолы 106;Нет
43; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 29;Астана, мкр Самал 12, БЦ Астана Таур, Канадский Визовый центр 2 Этаж;Нет
44; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 30;комп на замену, Турксибский район, улица Жигулевская дом 26;Нет
45; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 31;Алматы, Чайковского 39;Нет
46; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 32;Абая 61;Нет
47; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 33;;Нет
48; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 34;Тюленина 5;Нет
49; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 35;1 микрорайон, д.51а, кв.15;Нет
50; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 36;Жарокова 288 ниже Альфараби;Нет
51; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 37;Аль-Фараби 17К Блок 4Б офис 1304;Нет
52; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 38;Г. Алматы Аксуат 23;Нет
53; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 39;улица Муканова, 218;Нет
54; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 40;Красногорская 71;Нет
55; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 41;ул Абая 52В, этаж 5 каб 527;Нет
56; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 42;Габдулина 59Б;Нет
57; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 43;г.Алматы, ул.Физули 19;Нет
58; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 44;улица Бокейханова 112.;Нет
59; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 45;Бостандыкский район, пр.Аль-Фараби д.17, блок 4Б.  оф.803;Нет
60; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 46;ул. Карасай батыра, 185 Подробнее: https://iceberg24.kz/;Нет
61; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 47;Алматы, проспект Достык, 210, БЦ  Koktem Grand,  7 этаж, офис 71;Нет
62; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 48;Алматы, просп. Достык, 210;Нет
63; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 49;Алматы,  просп. Достык, 104А;Нет
64; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 50;Шымкент мкр. Восток, д.32;Нет
65; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 51;Сызганова 38;Нет
66; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 52;"Офис ""LPP Kazakhstan"" - г.Алматы, пр.Достык 192/2";Нет
67; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 53;Нурлытау Блок 1А офис 401;Нет
68; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 54;борзова 62;Нет
69; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 55;г. Алматы, ул. Суюнбая 497в;Нет
70; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Сайт;3901112.kz;Нет
71; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Evernote;evernote:///view/164771249/s588/c5645da5-9f78-474a-b2e0-c33c6cff5b10/c5645da5-9f78-474a-b2e0-c33c6cff5b10/cbafd2c3-d077-409e-92ad-d0edf5c03432;Нет
72; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 56;Улица Толе би, 73а;Нет
73; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 57;Жыбек жолы 76, офис 508;Нет
74;A00 Food Master (Фуд Мастер);;50440001209;Evernote;evernote:///view/164771072/s588/ef4c5c2a-c802-4430-9165-a79b17530a1b/ef4c5c2a-c802-4430-9165-a79b17530a1b/e573f874-adee-42fd-b9ab-335584ca7b07;Нет
75;A00 Philip Morris Sales and Marketing (Филип Морис Узбекистан, ФМК ) ;;40440000348;Рабочий телефон;+99 (890) 9099090;Нет
76;A00 Philip Morris Sales and Marketing (Филип Морис Узбекистан, ФМК ) ;;40440000348;Факт. адрес;г. Ташкент;Нет
77;A00 Philip Morris Sales and Marketing (Филип Морис Узбекистан, ФМК ) ;;40440000348;Evernote;evernote:///view/149516922/s588/54012ce3-a775-4097-ae12-db85884d96ab/54012ce3-a775-4097-ae12-db85884d96ab/be43da11-8531-496f-bde6-d22fa025be39;Нет
78;A01 Alstom Transport Kazakhstan (завод по производсту тепловозов ТОО «Электровоз құрастыру зауыты», паровозы);;40440001326;Факт. адрес 1;Нур-Султан, микрорайон Самал 12. бц.Astana Tower 10 этаж;Нет
79;A01 Alstom Transport Kazakhstan (завод по производсту тепловозов ТОО «Электровоз құрастыру зауыты», паровозы);;40440001326;Факт. адрес;Нур-Султан, Район Алматы ул. A184 зд.10;Нет
80;A01 Dosjan temir joly (Досжан темир джоли);;50340010343;Рабочий телефон;+7 (7172) 792972;Нет
81;A01 Dosjan temir joly (Досжан темир джоли);;50340010343;Рабочий е-mail;info@dtj.kz;Нет
82;A01 Dosjan temir joly (Досжан темир джоли);;50340010343;Факт. адрес;г.Астана, адрес: Достык 18, 9 этаж;Нет
83;A01 Dosjan temir joly (Досжан темир джоли);;50340010343;Evernote;evernote:///view/149516922/s588/6605081d-c8aa-4b0e-9619-a7cf8a6462ca/6605081d-c8aa-4b0e-9619-a7cf8a6462ca/be43da11-8531-496f-bde6-d22fa025be39;Нет
84;A01 Dosjan temir joly (Досжан темир джоли);;50340010343;Сайт;www.dtj.kz;Нет
85;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Телефон контрагента 2;+7 (777) 0799826;Нет
86;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Рабочий телефон;+7 (777) 5542140;Нет
87;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Телефон контрагента 4;+7 (7172) 696838;Нет
88;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Телефон контрагента 5;+7 (777) 0799827;Нет
89;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Рабочий е-mail;bekebayeva95@mail.ru;Нет
90;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Факт. адрес;г. Нур-Султан, Кабанбай батыра 19, блок D, офис 21.;Нет
91;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Evernote;evernote:///view/149516922/s588/d4ba0ea9-21c4-4d54-8da3-5c68c3cce36a/d4ba0ea9-21c4-4d54-8da3-5c68c3cce36a/be43da11-8531-496f-bde6-d22fa025be39;Нет
92;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Сайт;emdeugroup.kz;Нет
93;A01 Emdeu Group (Емдеу груп);;1,5124E+11;Факт. адрес 81;Туран 30А, 5 этаж, 7 офис;Нет
94;"A01 TOO ""American Medical Centers"" (Американ Медикал Центерс)";;2,2034E+11;Телефон контрагента 2;+7 (702) 9833000;Нет
95;"A01 TOO ""American Medical Centers"" (Американ Медикал Центерс)";;2,2034E+11;Рабочий телефон;+7 (778) 0567000;Нет
96;"A01 TOO ""American Medical Centers"" (Американ Медикал Центерс)";;2,2034E+11;Рабочий е-mail;astana@amcenters.com;Нет
97;"A01 TOO ""American Medical Centers"" (Американ Медикал Центерс)";;2,2034E+11;Факт. адрес;г.Нур-Султан, ул. Космонавтов 62а, офис 15;Нет
98;"A01 TOO ""American Medical Centers"" (Американ Медикал Центерс)";;2,2034E+11;Факт. адрес 12;г.Алматы, Курмангазы 102/69;Нет
99;"A01 TOO ""American Medical Centers"" (Американ Медикал Центерс)";;2,2034E+11;Evernote;evernote:///view/149516922/s588/626fda3d-aa40-46d4-8e16-5d5fdaf3b94d/626fda3d-aa40-46d4-8e16-5d5fdaf3b94d/be43da11-8531-496f-bde6-d22fa025be39;Нет
100;A01 Астанинский электротехнический завод (АЭТЗ, aetz, АЕТЗ);;1,2044E+11;Рабочий телефон;+7 (717) 2570670;Нет
101;A01 Астанинский электротехнический завод (АЭТЗ, aetz, АЕТЗ);;1,2044E+11;Рабочий е-mail;info@aetz.kz;Нет
102;A01 Астанинский электротехнический завод (АЭТЗ, aetz, АЕТЗ);;1,2044E+11;Факт. адрес;г. Нур-Султан, район Сарыарка, ул.Орлыкол 2;Нет
103;A01 Астанинский электротехнический завод (АЭТЗ, aetz, АЕТЗ);;1,2044E+11;Сайт;https://aetz.kz/;Нет
104;A01 Астанинский электротехнический завод (АЭТЗ, aetz, АЕТЗ);;1,2044E+11;Evernote;evernote:///view/108115222/s588/4524d848-d1f1-4eeb-b3db-4477a56bd13a/33c4b752-89ce-4525-91b9-c846634ca625;Нет
105;A01 ТОО  «BK TESLA» (БК ТЕСЛА);;1,8034E+11;Факт. адрес;Астана. Сауран 46, 3 этаж, 1313 офис.;Нет
106;A01 ТОО  «BK TESLA» (БК ТЕСЛА);;1,8034E+11;Evernote;evernote:///view/108115222/s588/5e117c7b-470b-43d0-9a97-01a67f3205e1/33c4b752-89ce-4525-91b9-c846634ca625;Нет
107;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Телефон контрагента 2;+7 (717) 2451001;Нет
108;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Рабочий телефон;+7 (717) 2451000;Нет
109;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Рабочий е-mail;almaty@emperum.kz;Нет
110;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Факт. адрес;г. Астана, ул. Мангилик ел, 20/1, 2 этаж;Нет
111;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Факт. адрес 1;"Алматы, Кажымукана 49, ЖК ""Рояль""";Нет
112;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Факт. адрес 63;Астана, Кабанбай Батыра 11/5 БЦ Нурлы Орда, 4 этаж;Нет
113;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Факт. адрес 64;;Нет
114;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Факт. адрес 65;Алматы, Хаджимукана 49;Нет
115;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Сайт;https://www.emperum.kz/;Нет
116;"A01 ТОО ""Emperum"" (емперум, имперум, империум)";;1,60741E+11;Evernote;evernote:///view/108115222/s588/40dd8b92-fd8a-4856-9ac1-42e820f82c8d/33c4b752-89ce-4525-91b9-c846634ca625;Нет
117;"A01 ТОО ""Лаурус Авто""";;2,3024E+11;Телефон контрагента 2;+7 (701) 952 5678;Нет
118;"A01 ТОО ""Лаурус Авто""";;2,3024E+11;Факт. адрес;г. Астана Проспект Туран, 30а;Нет
119;"A01 ТОО ""ОТИС Казахстан"" OTIS (Отис)";;1,5054E+11;Рабочий телефон;+7 (7172) 916295;Нет
120;"A01 ТОО ""ОТИС Казахстан"" OTIS (Отис)";;1,5054E+11;Факт. адрес 61;Нур-Султан, Сыганак, дом № 43;Нет
121;"A01 ТОО ""ОТИС Казахстан"" OTIS (Отис)";;1,5054E+11;Факт. адрес 62;Нур-Султан, Алматы, дом № 8;Нет
122;"A01 ТОО ""ОТИС Казахстан"" OTIS (Отис)";;1,5054E+11;Факт. адрес;Алматы, Солодовникова, дом № 21д, квартира 112;Нет
123;"A01 ТОО ""ОТИС Казахстан"" OTIS (Отис)";;1,5054E+11;Факт. адрес 63;Алматы, дом № 8а;Нет
124;"A01 ТОО ""ОТИС Казахстан"" OTIS (Отис)";;1,5054E+11;Evernote;evernote:///view/149516922/s588/0f04bafe-6b59-451a-aa74-8ee711d05650/0f04bafe-6b59-451a-aa74-8ee711d05650/be43da11-8531-496f-bde6-d22fa025be39;Нет
125;A01 ТОО «CeZar group» (Кезар Групп Цезарь Цезар Груп) ;;1,5084E+11;Телефон контрагента 2;+8 (7172) 999987;Нет
126;A01 ТОО «CeZar group» (Кезар Групп Цезарь Цезар Груп) ;;1,5084E+11;Рабочий телефон;+7 (707) 3999987;Нет
127;A01 ТОО «CeZar group» (Кезар Групп Цезарь Цезар Груп) ;;1,5084E+11;Рабочий е-mail;info@cezar.kz;Нет
128;A01 ТОО «CeZar group» (Кезар Групп Цезарь Цезар Груп) ;;1,5084E+11;Факт. адрес 2;ЖК 4YOU, улица Радостовца, 333а;Нет
129;A01 ТОО «CeZar group» (Кезар Групп Цезарь Цезар Груп) ;;1,5084E+11;Факт. адрес;г. Нур-Султан, район Есиль, улица Ақмешіт 9, н.п. 81;Нет
130;A01 ТОО «CeZar group» (Кезар Групп Цезарь Цезар Груп) ;;1,5084E+11;Сайт;https://cezar-gallery.kz/;Нет
131;A01 ТОО «CeZar group» (Кезар Групп Цезарь Цезар Груп) ;;1,5084E+11;Evernote;evernote:///view/149516922/s588/2cce5c39-31c2-4c5e-9216-0a53ef236a5a/2cce5c39-31c2-4c5e-9216-0a53ef236a5a/be43da11-8531-496f-bde6-d22fa025be39;Нет
132;A01 ТОО «CeZar group» (Кезар Групп Цезарь Цезар Груп) ;;1,5084E+11;Факт. адрес 83;СТ Аврора 87;Нет
133;A01 ТОО «Global Gas Regazification» (Глобал Газ Регазификейшн);;1,5124E+11;Рабочий телефон;+7 (717) 2577277;Нет
134;A01 ТОО «Global Gas Regazification» (Глобал Газ Регазификейшн);;1,5124E+11;Рабочий е-mail;info@globalgas.kz;Нет
135;A01 ТОО «Global Gas Regazification» (Глобал Газ Регазификейшн);;1,5124E+11;Факт. адрес 1;г.Астана, Кенесары, дом № 8, офис 1717;Нет
136;A01 ТОО «Global Gas Regazification» (Глобал Газ Регазификейшн);;1,5124E+11;Факт. адрес 12;г.Астана, улица Е-56;Нет
137;A01 ТОО «Global Gas Regazification» (Глобал Газ Регазификейшн);;1,5124E+11;Сайт;https://globalgas.kz/ru/;Нет
138;A01 ТОО «Global Gas Regazification» (Глобал Газ Регазификейшн);;1,5124E+11;Evernote;evernote:///view/108115222/s588/224e7d17-8fbf-4571-9987-3b6ee72c1683/33c4b752-89ce-4525-91b9-c846634ca625;Нет
139;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Телефон контрагента 4;+7 (701) 0750808;Нет
140;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Телефон контрагента 2;+7 (717) 2728811;Нет
141;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Рабочий телефон;+7 (717) 2728822;Нет
142;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Телефон контрагента 3;+7 (701) 8006266;Нет
143;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Рабочий е-mail;info4cosmocentre@yandex.kz;Нет
144;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Факт. адрес;Нурсултан, ЖК “Хайвил Астана блок А5”, Байтурсынова 1;Нет
145;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Факт. адрес 1;Нур-Султан, Бараева, дом № 21, квартира 42 ( кв. 43);Нет
146;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Факт. адрес 2;;Нет
147;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Факт. адрес 14;Алматы, Достык проспект, 36 / Богенбай батыра, 98;Нет
148;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Факт. адрес 15;;Нет
149;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Факт. адрес 16;;Нет
150;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Факт. адрес 17;г. Нур-Султан, Мамбетова 8/2;Нет
151;A01 ТОО «Клиника эстетической хирургии и косметологии», Tulip Medicine Тулип;;90740013934;Evernote;evernote:///view/108115222/s588/872ce28c-721a-4c14-8664-d6be908a943e/33c4b752-89ce-4525-91b9-c846634ca625;Нет
152;"A01 ТОО «Лапп Казахстан» ""LAPP Kazakhstan LLP""";;1,4014E+11;Рабочий телефон;+7 (717) 2476144;Нет
153;"A01 ТОО «Лапп Казахстан» ""LAPP Kazakhstan LLP""";;1,4014E+11;Рабочий е-mail;sales.kz.lkz@lapp.com;Нет
154;"A01 ТОО «Лапп Казахстан» ""LAPP Kazakhstan LLP""";;1,4014E+11;Факт. адрес;г. Нур-Султан, район Сарыарка, пр. Абая 13, БЦ «Искер»,оф. 709;Нет
155;"A01 ТОО «Лапп Казахстан» ""LAPP Kazakhstan LLP""";;1,4014E+11;Факт. адрес 81;Алматы, Улица Тарази, 18 с. Мухаметжан Туймебаев, Илийский район, Алматинская область040729;Нет
156;"A01 ТОО «Лапп Казахстан» ""LAPP Kazakhstan LLP""";;1,4014E+11;Факт. адрес 82;Алматы, Кенесары-Хана 61а;Нет
157;"A01 ТОО «Лапп Казахстан» ""LAPP Kazakhstan LLP""";;1,4014E+11;Сайт;lappkazakhstan.lappgroup.com;Нет
158;"A01 ТОО «Лапп Казахстан» ""LAPP Kazakhstan LLP""";;1,4014E+11;Evernote;evernote:///view/108115222/s588/1a5292ba-1d5f-44f6-9692-a8ea2af7e723/33c4b752-89ce-4525-91b9-c846634ca625;Нет
159;"A01 ТОО «Лапп Казахстан» ""LAPP Kazakhstan LLP""";;1,4014E+11;Факт. адрес 83;"улица Е-882, здание 3а, офис 301, БЦ ""Delta Plaza""";Нет
160;"A01 ТОО Юридическая фирма ""GRATA"" (Грата Астана)";;9,2044E+11;Рабочий е-mail;Ns_officemanager@gratanet.com;Нет
161;"A01 ТОО Юридическая фирма ""GRATA"" (Грата Астана)";;9,2044E+11;Факт. адрес;Астана, пр. Мангилик Ел 55/20 офис 329-330, С 4.1;Нет
162;"A01 ТОО Юридическая фирма ""GRATA"" (Грата Астана)";;9,2044E+11;Evernote;evernote:///view/108115222/s588/327ff979-5ae9-421c-9559-273d79123d9e/33c4b752-89ce-4525-91b9-c846634ca625;Нет
163;"A01 Филиал компании "" SMEC INTERNATIONAL PTY LIMITED"" (СМЭК ИНТЕРНЕШНЛ ПТИ ЛИМИТЕД)";;1,70541E+11;Телефон контрагента 2;+7 (7172) 792989;Нет
164;"A01 Филиал компании "" SMEC INTERNATIONAL PTY LIMITED"" (СМЭК ИНТЕРНЕШНЛ ПТИ ЛИМИТЕД)";;1,70541E+11;Рабочий телефон;+7 (717) 2248632;Нет
165;"A01 Филиал компании "" SMEC INTERNATIONAL PTY LIMITED"" (СМЭК ИНТЕРНЕШНЛ ПТИ ЛИМИТЕД)";;1,70541E+11;Факт. адрес 2;г.Шымкент, ул. Казыбек би 52, БЦ Baiterek;Нет
166;"A01 Филиал компании "" SMEC INTERNATIONAL PTY LIMITED"" (СМЭК ИНТЕРНЕШНЛ ПТИ ЛИМИТЕД)";;1,70541E+11;Факт. адрес;"Нур -Султан, район Есиль, Шоссе Коргалжын, здание 3, Бизнес центр ""SMART"", 7 этаж, офис 702.";Нет
167;"A01 Филиал компании "" SMEC INTERNATIONAL PTY LIMITED"" (СМЭК ИНТЕРНЕШНЛ ПТИ ЛИМИТЕД)";;1,70541E+11;Evernote;evernote:///view/108115222/s588/bd85798b-5010-400f-b480-e796a973cbc5/33c4b752-89ce-4525-91b9-c846634ca625;Нет
168;"A01 Частная компания ""Unicron Crops Limited"" (Юникорн Кропс Лимитэд) 50 North Capital Limited, ЧК ""Unicorn Holdings Limited""";;1,90941E+11;Факт. адрес;Астана, пр.Мангилик ель 55/20, офис 335-336;Нет
169;"A01 Частная компания ""Unicron Crops Limited"" (Юникорн Кропс Лимитэд) 50 North Capital Limited, ЧК ""Unicorn Holdings Limited""";;1,90941E+11;Факт. адрес 61;Астана, пр. Мангилик 55/16, офис 339 блок С3,1;Нет
170;"A01 Частная компания ""Unicron Crops Limited"" (Юникорн Кропс Лимитэд) 50 North Capital Limited, ЧК ""Unicorn Holdings Limited""";;1,90941E+11;Evernote;evernote:///view/108115222/s588/f790705e-bf99-4e91-b2ff-aee2d0a79493/33c4b752-89ce-4525-91b9-c846634ca625;Нет
171;A02  IVYLeague Education ( Иви, Лига Эдикейшн, Элвиай Лидж Эдикейшн);;2,0034E+11;Рабочий телефон;+7 (727) 3111053;Нет
172;A02  IVYLeague Education ( Иви, Лига Эдикейшн, Элвиай Лидж Эдикейшн);;2,0034E+11;Рабочий е-mail;ivyleagueprint@gmail.com;Нет
173;A02  IVYLeague Education ( Иви, Лига Эдикейшн, Элвиай Лидж Эдикейшн);;2,0034E+11;Факт. адрес 61;Алматы, Аль-Фараби, дом № 13, корпус 1B, офис 306 (все тут);Нет
174;A02  IVYLeague Education ( Иви, Лига Эдикейшн, Элвиай Лидж Эдикейшн);;2,0034E+11;Сайт;ivyleague.kz;Нет
